מק״ט,קטגוריות (מופרדות ב|),"פעיל (1- כן, 0-לא)",שם המוצר,תיאור ארוך,תגיות (מופרדות בפסיקים),ביטוי למיקוד,Meta Description,מחיר,מחיר מבצע,מותג - שם מותג,"חדש (1- כן, 0-לא)",קישור מלא לתמונה 1,קישור מלא לתמונה 2,קישור מלא לתמונה 3,קישור מלא לתמונה 4,סרטון,"החלפת תמונות (1- כן, 0-לא)"
316100001,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה קורנינג דגם MICKEY אדום,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה.
צבע אדום
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610001,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה קורנינג דגם MICKEY ירוק,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה.
צבע ירוק
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610002,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה קורנינג דגם MICKEY כחול,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה.
צבע כחול
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610003,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה קורנינג דגם MICKEY צהוב,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה.
צבע צהוב
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610004,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת עוגה קורנינג דגם MICKEY אדום,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 17 ס""מ ומתאימה להגשת עוגות וקינוחים.
צבע אדום
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610005,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת עוגה קורנינג דגם MICKEY ירוק,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 17 ס""מ ומתאימה להגשת עוגות וקינוחים.
צבע ירוק
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610006,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת עוגה קורנינג דגם MICKEY כחול,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 17 ס""מ ומתאימה להגשת עוגות וקינוחים.
צבע כחול
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610007,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת עוגה קורנינג דגם MICKEY צהוב,"מי לא אוהב את דמותו של מיקי מאוס, העכברון המצויר מבית דיסני? עכשיו גם מעטר את צלחות ההגשה ומתאים לכל אירוח וחגיגה. בעזרת הקולקציה החדשה תוכלו להוסיף שמחה ועניין לשולחנכם.
גודל הצלחת 17 ס""מ ומתאימה להגשת עוגות וקינוחים.
צבע צהוב
ניתן לשלבה עם צלחות בצבעים שונים או להשלים לסט בצבע אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610008,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה דגם Star Wars Size קורנינג,"קולקציה מלחמת הכוכבים חדשה ומצוירת מבית המותג CORELLE (קורנינג) המוסיפה עניין ושמחה לשולחנכם בכל אירוע וחגיגה.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה
דגם: Star Wars Size
ניתן לשלבה עם צלחות בדגמים נוספים או להשלים לסט בדגם אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610009,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה דגם Star Wars Love קורנינג,"קולקציה מלחמת הכוכבים חדשה ומצוירת מבית המותג CORELLE (קורנינג) המוסיפה עניין ושמחה לשולחנכם בכל אירוע וחגיגה.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה
דגם: Star Wars Love
ניתן לשלבה עם צלחות בדגמים נוספים או להשלים לסט בדגם אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
31610010,עמוד הבית|כלי מטבח|כלי הגשה ואירוח|צלחות|כלים לילדים|צלחות אוכל לילדים|צלחות מיוחדות|צלחות זכוכית,1,צלחת מנה ראשונה דגם Star Wars Oh My קורנינג,"קולקציה מלחמת הכוכבים חדשה ומצוירת מבית המותג CORELLE (קורנינג) המוסיפה עניין ושמחה לשולחנכם בכל אירוע וחגיגה.
גודל הצלחת 21.5 ס""מ ומתאימה להגשה מנה ראשונה
דגם: Star Wars Oh My
ניתן לשלבה עם צלחות בדגמים נוספים או להשלים לסט בדגם אחיד.
קל לניקוי, מתאים לשימוש במדיח כלים.
ניתן להכניס למקרר ולמקפיא
ניתן לחמם בתנור (ללא גריל גלוי), במיקרוגל ועל פלטת שבת.
אין לחמם את הצלחות בטוסטר אובן (גריל גלוי) או על כיריים
מותג קורנינג האמריקאי המייצר את הצלחות העמידות בעולם. הזכוכית העמידה הינה פטנט שיוצר עבור סוכנות החלל נאס”א. צלחות קורנינג כל כך חזקות שקשה לשבור אותן, עשויות זכוכית מחוסמת חזקה במיוחד. קלות ביותר, דקות ביותר ומתאימות לאחסון מינימליסטי. צלחות קורל של קורנינג אינן נשרטות ושומרות על ברק לאורך שנים.
צלחות קורנינג משלבות דגמים קלאסיים הנמכרים למעלה מ-40 שנים ברחבי העולם, בנוסף יוצאים כל שנה דגמים מודרניים ועכשוויים.
בשל טיבן ואיכותן, צלחות קורל מבית קורנינג נושאות עד 3 שנות אחריות!
Made in USA",,,,,,CORELLE,1,,,,,,0
